Bin	Sequences	Proportion	Patterns	Percent Full
itr_only	10000.0	1.0	286	0.0%
Totals	10000.0	1.0	286


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
itr_only	10000.0	1.0	286	0.0
Subclassification	Sequence Count	Repeats	Proportion of itr_only	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
itr_only	4078.0	0	0.4078	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	3948.0	0	0.3948	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	190.0	0	0.019	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	163.0	0	0.0163	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	106.5	0	0.01065	itr_only	False	False	False	I	ITR-FLIP[2-145](+)
itr_only	106.5	0	0.01065	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	86.5	0	0.00865	itr_only	True	False	False	I	ITR-FLIP[2-145](+) ITR-FLIP[1-145](+)
itr_only	86.5	0	0.00865	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	65.0	0	0.0065	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[2-145](-)
itr_only	65.0	0	0.0065	itr_only	False	False	False	I	ITR-FLIP[1-143](-)
itr_only	64.0	0	0.0064	itr_only	True	False	False	I	ITR-FLIP[1-144](-) ITR-FLIP[1-145](-)
itr_only	61.0	0	0.0061	itr_only	False	False	False	I	ITR-FLIP[2-145](-)
itr_only	56.0	0	0.0056	itr_only	True	False	False	I	ITR-FLIP[3-145](-) ITR-FLIP[1-145](-)
itr_only	55.0	0	0.0055	itr_only	False	False	False	I	ITR-FLIP[1-144](-)
itr_only	50.0	0	0.005	itr_only	False	False	False	I	ITR-FLIP[3-145](-)
itr_only	49.0	0	0.0049	itr_only	True	False	False	I	ITR-FLIP[2-145](-) ITR-FLIP[1-145](-)
itr_only	49.0	0	0.0049	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-143](-)
itr_only	47.0	0	0.0047	itr_only	True	False	False	I	ITR-FLIP[1-143](-) ITR-FLIP[1-145](-)
itr_only	44.0	0	0.0044	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[3-145](-)
itr_only	38.0	0	0.0038	itr_only	True	False	False	I	ITR-FLIP[1-142](-) ITR-FLIP[1-145](-)
itr_only	33.0	0	0.0033	itr_only	False	False	False	I	ITR-FLIP[1-142](-)
itr_only	32.0	0	0.0032	itr_only	False	False	False	I	ITR-FLIP[5-145](-)
itr_only	30.0	0	0.003	itr_only	True	False	False	I	ITR-FLIP[5-145](-) ITR-FLIP[1-145](-)
itr_only	30.0	0	0.003	itr_only	False	False	False	I	ITR-FLIP[4-145](-)
itr_only	30.0	0	0.003	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[4-145](-)
itr_only	29.0	0	0.0029	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[5-145](-)
itr_only	27.0	0	0.0027	itr_only	True	False	False	I	ITR-FLIP[4-145](-) ITR-FLIP[1-145](-)
itr_only	16.0	0	0.0016	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-144](-)
itr_only	11.5	0	0.00115	itr_only	False	False	False	I	ITR-FLIP[1-146](-)
itr_only	11.5	0	0.00115	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	9.0	0	0.0009	itr_only	True	False	False	I	ITR-FLIP[6-145](-) ITR-FLIP[1-145](-)
itr_only	7.0	0	0.0007	itr_only	True	False	False	I	ITR-FLIP[2-145](-) ITR-FLIP[1-146](-)
itr_only	7.0	0	0.0007	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[6-145](-)
itr_only	6.0	0	0.0006	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[7-145](-)
itr_only	4.5	0	0.00045	itr_only	True	False	False	I	ITR-FLIP[1-146](-) ITR-FLIP[1-145](-)
itr_only	4.5	0	0.00045	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	4.5	0	0.00045	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
