Bin	Sequences	Proportion	Patterns	Percent Full
itr_only	10000.0	1.0	166	0.0%
Totals	10000.0	1.0	166


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
itr_only	10000.0	1.0	166	0.0
Subclassification	Sequence Count	Repeats	Proportion of itr_only	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
itr_only	4393.0	0	0.4393	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	4229.0	0	0.4229	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	193.0	0	0.0193	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	176.0	0	0.0176	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	129.0	0	0.0129	itr_only	False	False	False	I	ITR-FLIP[2-145](+)
itr_only	129.0	0	0.0129	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	119.0	0	0.0119	itr_only	True	False	False	I	ITR-FLIP[2-145](+) ITR-FLIP[1-145](+)
itr_only	119.0	0	0.0119	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	29.0	0	0.0029	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-143](-)
itr_only	24.0	0	0.0024	itr_only	False	False	False	I	ITR-FLIP[4-145](-)
itr_only	23.0	0	0.0023	itr_only	False	False	False	I	ITR-FLIP[1-143](-)
itr_only	21.0	0	0.0021	itr_only	False	False	False	I	ITR-FLIP[5-145](-)
itr_only	21.0	0	0.0021	itr_only	False	False	False	I	ITR-FLIP[2-145](-)
itr_only	20.0	0	0.002	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[5-145](-)
itr_only	19.0	0	0.0019	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[3-145](-)
itr_only	19.0	0	0.0019	itr_only	True	False	False	I	ITR-FLIP[1-144](-) ITR-FLIP[1-145](-)
itr_only	17.0	0	0.0017	itr_only	True	False	False	I	ITR-FLIP[1-142](-) ITR-FLIP[1-145](-)
itr_only	17.0	0	0.0017	itr_only	False	False	False	I	ITR-FLIP[1-142](-)
itr_only	16.0	0	0.0016	itr_only	True	False	False	I	ITR-FLIP[3-145](-) ITR-FLIP[1-145](-)
