Bin	Sequences	Proportion	Patterns	Percent Full
other	9996.0	0.9994001199760048	600	100.0%
untileable_sequences	6.0	0.0005998800239952009	0	0.0%
Totals	10002.0	1.0	600


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
other	9996.0	0.9994	600	1.0
Subclassification	Sequence Count	Repeats	Proportion of other	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
other	6444.0	0	0.6446578631452581	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	269.0	0	0.026910764305722288	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	229.0	0	0.022909163665466185	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[4-2865](+)
other	209.0	0	0.020908363345338136	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	191.0	0	0.01910764305722289	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[1-2865](+)
other	184.0	0	0.01840736294517807	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	180.0	0	0.01800720288115246	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[5-2865](+)
other	172.0	0	0.01720688275310124	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[5-2865](+) Payload[1-2865](+)
other	131.5	0	0.013155262104841936	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	131.5	0	0.013155262104841936	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	92.0	0	0.009203681472589036	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[2-2865](+) Payload[1-2865](+)
other	84.0	0	0.008403361344537815	forward_linear	False	False	True	P P P	Payload[2-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	82.0	0	0.00820328131252501	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[2-2865](+)
other	76.0	0	0.007603041216486595	forward_linear	False	False	True	P P P	Payload[1-2863](+) Payload[1-2865](+) Payload[1-2865](+)
other	72.0	0	0.007202881152460984	forward_linear	False	False	True	P P P	Payload[1-2864](+) Payload[1-2865](+) Payload[1-2865](+)
other	70.0	0	0.0070028011204481795	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2863](+) Payload[1-2865](+)
other	69.0	0	0.006902761104441777	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2863](+)
other	65.0	0	0.006502601040416166	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[3-2865](+) Payload[1-2865](+)
other	65.0	0	0.006502601040416166	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2864](+)
other	58.0	0	0.005802320928371348	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[3-2865](+)
other	57.0	0	0.005702280912364946	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2864](+) Payload[1-2865](+)
other	56.0	0	0.0056022408963585435	forward_linear	False	False	True	P P P	Payload[3-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	33.0	0	0.0033013205282112846	forward_linear	False	False	True	P P P	Payload[1-2862](+) Payload[1-2865](+) Payload[1-2865](+)
other	29.0	0	0.002901160464185674	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2862](+) Payload[1-2865](+)
other	17.0	0	0.0017006802721088435	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2861](+)
other	15.0	0	0.0015006002400960385	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2862](+)
other	13.0	0	0.0013005202080832333	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[4-2865](+)
