Bin	Sequences	Proportion	Patterns	Percent Full
truncated_sp_IPP	9976.0	0.9976	6376	0.20048115477145148%
other	13.0	0.0013	16	0.0%
truncated_right	11.0	0.0011	13	0.0%
Totals	10000.0	1.0	6405


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
truncated_sp_IPP	9976.0	0.9976	6376	0.002004811547714515
Subclassification	Sequence Count	Repeats	Proportion of truncated_sp_IPP	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
truncated_sp_IPP	101.0	0	0.0101242983159583	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-)
truncated_sp_IPP	92.0	0	0.009222133119486768	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-)
truncated_sp_IPP	62.0	0	0.006214915797914996	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[3-232](+) Payload[3-317](-)
truncated_sp_IPP	61.0	0	0.00611467522052927	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[3-317](+) Payload[3-232](-)
truncated_sp_IPP	57.0	0	0.005713712910986367	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-317](+) Payload[3-232](-)
truncated_sp_IPP	55.0	0	0.005513231756214916	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-232](+) Payload[3-317](-)
truncated_sp_IPP	43.0	0	0.004310344827586207	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[158-2865](-) Payload[247-2865](+)
truncated_sp_IPP	39.0	0	0.003909382518043304	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[247-2865](-) Payload[158-2865](+)
truncated_sp_IPP	38.0	0	0.003809141940657578	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[247-2865](-) Payload[158-2865](+)
truncated_sp_IPP	37.0	0	0.0037089013632718524	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[2-159](+) Payload[2-159](-)
truncated_sp_IPP	36.0	0	0.0036086607858861267	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[954-2865](-) Payload[954-2865](+)
truncated_sp_IPP	35.0	0	0.003508420208500401	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[3-315](+) Payload[3-315](-)
truncated_sp_IPP	34.0	0	0.003408179631114675	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[2-392](+) Payload[2-392](-)
truncated_sp_IPP	34.0	0	0.003408179631114675	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[377-2865](-) Payload[245-2865](+)
truncated_sp_IPP	34.0	0	0.003408179631114675	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[2-198](+) Payload[2-156](-)
truncated_sp_IPP	32.0	0	0.0032076984763432237	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[158-2865](-) Payload[247-2865](+)
truncated_sp_IPP	32.0	0	0.0032076984763432237	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-635](+) Payload[3-727](-)
truncated_sp_IPP	31.0	0	0.003107457898957498	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[377-2865](-) Payload[245-2865](+)
truncated_sp_IPP	31.0	0	0.003107457898957498	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[3-455](+) Payload[3-312](-)
truncated_sp_IPP	30.0	0	0.003007217321571772	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[2-159](+) Payload[2-159](-)
truncated_sp_IPP	29.0	0	0.0029069767441860465	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[2-198](+) Payload[2-156](-)
truncated_sp_IPP	29.0	0	0.0029069767441860465	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[2-392](+) Payload[2-392](-)
truncated_sp_IPP	28.0	0	0.0028067361668003207	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[1021-2865](-) Payload[1042-2865](+)
truncated_sp_IPP	27.0	0	0.002706495589414595	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[954-2865](-) Payload[954-2865](+)
truncated_sp_IPP	27.0	0	0.002706495589414595	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[3-635](+) Payload[3-727](-)
truncated_sp_IPP	27.0	0	0.002706495589414595	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1021-2865](-) Payload[1042-2865](+)
truncated_sp_IPP	26.0	0	0.0026062550120288693	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[9-2865](-) Payload[45-2865](+)
truncated_sp_IPP	26.0	0	0.0026062550120288693	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[9-2865](-) Payload[45-2865](+)
truncated_sp_IPP	26.0	0	0.0026062550120288693	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-455](+) Payload[3-312](-)
truncated_sp_IPP	26.0	0	0.0026062550120288693	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-353](+) Payload[3-369](-)
truncated_sp_IPP	26.0	0	0.0026062550120288693	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-312](+) Payload[3-455](-)
truncated_sp_IPP	25.0	0	0.0025060144346431435	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[3-312](+) Payload[3-455](-)
truncated_sp_IPP	25.0	0	0.0025060144346431435	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-731](+) Payload[3-625](-)
truncated_sp_IPP	25.0	0	0.0025060144346431435	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-315](+) Payload[3-315](-)
truncated_sp_IPP	25.0	0	0.0025060144346431435	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1042-2865](-) Payload[1021-2865](+)
truncated_sp_IPP	23.0	0	0.002305533279871692	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[2-1122](+) Payload[2-1111](-)
truncated_sp_IPP	22.0	0	0.0022052927024859663	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[1348-2865](-) Payload[1385-2865](+)
truncated_sp_IPP	22.0	0	0.0022052927024859663	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1385-2865](-) Payload[1348-2865](+)
truncated_sp_IPP	22.0	0	0.0022052927024859663	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1348-2865](-) Payload[1385-2865](+)
truncated_sp_IPP	21.0	0	0.0021050521251002405	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[2198-2865](-) Payload[2210-2865](+)
truncated_sp_IPP	21.0	0	0.0021050521251002405	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[2-1122](+) Payload[2-1111](-)
