Bin	Sequences	Proportion	Patterns	Percent Full
payload_only	9985.0	0.9985	52	99.9899849774662%
doubled_payload	14.0	0.0014	15	0.0%
untileable_sequences	1.0	0.0001	0	0.0%
Totals	10000.0	1.0	67


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
payload_only	9985.0	0.9985	52	0.999899849774662
Subclassification	Sequence Count	Repeats	Proportion of payload_only	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
payload_only	8442.0	0	0.8454682023034552	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	455.0	0	0.04556835252879319	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	233.0	0	0.023335002503755635	forward_linear	False	False	True	P	Payload[4-2865](+)
payload_only	226.0	0	0.022633950926389583	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	226.0	0	0.022633950926389583	reverse_linear	False	False	True	P	Payload[1-2864](-)
payload_only	212.0	0	0.021231847771657486	forward_linear	False	False	True	P	Payload[5-2865](+)
payload_only	48.0	0	0.0048072108162243365	forward_linear	False	False	True	P	Payload[2-2865](+)
payload_only	14.0	0	0.001402103154732098	forward_linear	False	False	True	P	Payload[4-2865](+)
payload_only	14.0	0	0.001402103154732098	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	12.0	0	0.0012018027040560841	forward_linear	False	False	True	P	Payload[1-2863](+)
payload_only	11.0	0	0.0011016524787180772	forward_linear	False	False	True	P	Payload[3-2865](+)
payload_only	10.0	0	0.00100150225338007	forward_linear	False	False	True	P	Payload[1-2864](+)
payload_only	8.5	0	0.0008512769153730596	forward_linear	False	False	True	P	Payload[5-2865](+)
payload_only	8.5	0	0.0008512769153730596	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	5.0	0	0.000500751126690035	reverse_linear	False	False	True	P	Payload[5-2864](-)
payload_only	5.0	0	0.000500751126690035	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	5.0	0	0.000500751126690035	forward_linear	False	False	True	P	Payload[4-2865](+)
payload_only	5.0	0	0.000500751126690035	reverse_linear	False	False	True	P	Payload[1-2864](-)
payload_only	4.0	0	0.00040060090135202804	reverse_linear	False	False	True	P	Payload[4-2864](-)
payload_only	4.0	0	0.00040060090135202804	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	4.0	0	0.00040060090135202804	forward_linear	False	False	True	P	Payload[5-2865](+)
payload_only	4.0	0	0.00040060090135202804	reverse_linear	False	False	True	P	Payload[1-2864](-)
payload_only	3.0	0	0.00030045067601402103	forward_linear	False	False	True	P	Payload[1-2862](+)
