Bin	Sequences	Proportion	Patterns	Percent Full
payload_only	9977.0	0.9977	118	99.99498847348902%
doubled_payload	20.0	0.002	21	0.0%
untileable_sequences	3.0	0.0003	0	0.0%
Totals	10000.0	1.0	139


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
payload_only	9977.0	0.9977	118	0.9999498847348902
Subclassification	Sequence Count	Repeats	Proportion of payload_only	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
payload_only	8052.0	0	0.8070562293274531	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	420.0	0	0.04209682269219204	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	264.0	0	0.026460859977949284	forward_linear	False	False	True	P	Payload[4-2865](+)
payload_only	246.0	0	0.024656710433998197	forward_linear	False	False	True	P	Payload[5-2865](+)
payload_only	190.0	0	0.019043800741705922	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	190.0	0	0.019043800741705922	reverse_linear	False	False	True	P	Payload[1-2864](-)
payload_only	128.0	0	0.012829507868096623	forward_linear	False	False	True	P	Payload[2-2865](+)
payload_only	83.0	0	0.008319134008218904	forward_linear	False	False	True	P	Payload[1-2864](+)
payload_only	70.0	0	0.00701613711536534	forward_linear	False	False	True	P	Payload[3-2865](+)
payload_only	66.0	0	0.006615214994487321	forward_linear	False	False	True	P	Payload[1-2863](+)
payload_only	32.0	0	0.0032073769670241557	forward_linear	False	False	True	P	Payload[1-2862](+)
payload_only	22.0	0	0.002205071664829107	forward_linear	False	False	True	P	Payload[1-2861](+)
payload_only	14.5	0	0.0014533426881828205	forward_linear	False	False	True	P	Payload[5-2865](+)
payload_only	14.5	0	0.0014533426881828205	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	9.0	0	0.0009020747719755437	forward_linear	False	False	True	P	Payload[4-2865](+)
payload_only	9.0	0	0.0009020747719755437	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	6.5	0	0.0006514984464267816	forward_linear	False	False	True	P	Payload[4-2865](+)
payload_only	6.5	0	0.0006514984464267816	reverse_linear	False	False	True	P	Payload[1-2864](-)
payload_only	6.0	0	0.0006013831813170291	forward_linear	False	False	True	P	Payload[6-2865](+)
payload_only	6.0	0	0.0006013831813170291	forward_linear	False	False	True	P	Payload[1-2860](+)
payload_only	5.5	0	0.0005512679162072767	forward_linear	False	False	True	P	Payload[2-2865](+)
payload_only	5.5	0	0.0005512679162072767	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	5.5	0	0.0005512679162072767	forward_linear	False	False	True	P	Payload[5-2865](+)
payload_only	5.5	0	0.0005512679162072767	reverse_linear	False	False	True	P	Payload[1-2864](-)
payload_only	5.5	0	0.0005512679162072767	forward_linear	False	False	True	P	Payload[1-2865](+)
payload_only	5.5	0	0.0005512679162072767	forward_linear	False	False	True	P	Payload[1-2864](+)
