Bin	Sequences	Proportion	Patterns	Percent Full
snapback	9950.0	0.9949005099490051	10373	0.21105527638190955%
irregular_payload	27.0	0.0026997300269973002	30	0.0%
untileable_sequences	18.0	0.0017998200179982	0	0.0%
truncated_right	4.0	0.00039996000399960006	4	0.0%
other	2.0	0.00019998000199980003	3	0.0%
Totals	10001.0	1.0	10410


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
snapback	9950.0	0.9949	10373	0.0021105527638190956
Subclassification	Sequence Count	Repeats	Proportion of snapback	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
snapback	16.0	0	0.0016080402010050252	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	13.0	0	0.0013065326633165829	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	11.0	0	0.0011055276381909548	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-) ITR-FLIP[21-165](-)
snapback	11.0	0	0.0011055276381909548	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-) ITR-FLIP[21-165](-)
snapback	10.0	0	0.0010050251256281408	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[2-159](+) Payload[2-159](-) ITR-FLIP[21-165](-)
snapback	9.0	0	0.0009045226130653266	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-232](+) Payload[3-317](-) ITR-FLIP[21-165](-)
snapback	9.0	0	0.0009045226130653266	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[247-2865](-) Payload[158-2865](+) ITR-FLIP[21-165](-)
snapback	7.0	0	0.0007035175879396985	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[158-2865](-) Payload[247-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	7.0	0	0.0007035175879396985	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[377-2865](-) Payload[245-2865](+) ITR-FLIP[21-165](-)
snapback	7.0	0	0.0007035175879396985	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-232](+) Payload[3-317](-) ITR-FLIP[21-165](-)
