Bin	Sequences	Proportion	Patterns	Percent Full
doubled_payload	9978.0	0.9978	5287	0.12026458208057728%
payload_only	13.0	0.0013	7	0.0%
other	9.0	0.0009	11	0.0%
Totals	10000.0	1.0	5305


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
doubled_payload	9978.0	0.9978	5287	0.0012026458208057728
Subclassification	Sequence Count	Repeats	Proportion of doubled_payload	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
doubled_payload	198.0	0	0.01984365604329525	non_linear	False	False	False	P P	Payload[3-244](+) Payload[3-244](-)
doubled_payload	126.0	0	0.012627781118460614	non_linear	False	False	False	P P	Payload[3-317](+) Payload[3-232](-)
doubled_payload	123.0	0	0.01232711966325917	non_linear	False	False	False	P P	Payload[3-232](+) Payload[3-317](-)
doubled_payload	92.0	0	0.009220284626177591	non_linear	False	False	False	P P	Payload[247-2865](-) Payload[158-2865](+)
doubled_payload	83.0	0	0.008318300260573262	non_linear	False	False	False	P P	Payload[954-2865](-) Payload[954-2865](+)
doubled_payload	80.0	0	0.008017638805371818	non_linear	False	False	False	P P	Payload[2-392](+) Payload[2-392](-)
doubled_payload	71.0	0	0.007115654439767489	non_linear	False	False	False	P P	Payload[3-315](+) Payload[3-315](-)
doubled_payload	68.0	0	0.006814992984566046	non_linear	False	False	False	P P	Payload[377-2865](-) Payload[245-2865](+)
doubled_payload	68.0	0	0.006814992984566046	non_linear	False	False	False	P P	Payload[3-455](+) Payload[3-312](-)
doubled_payload	68.0	0	0.006814992984566046	non_linear	False	False	False	P P	Payload[3-312](+) Payload[3-455](-)
doubled_payload	68.0	0	0.006814992984566046	non_linear	False	False	False	P P	Payload[2-159](+) Payload[2-159](-)
doubled_payload	68.0	0	0.006814992984566046	non_linear	False	False	False	P P	Payload[158-2865](-) Payload[247-2865](+)
doubled_payload	62.0	0	0.006213670074163159	non_linear	False	False	False	P P	Payload[9-2865](-) Payload[45-2865](+)
doubled_payload	53.0	0	0.00531168570855883	non_linear	False	False	False	P P	Payload[246-2865](-) Payload[154-2865](+)
doubled_payload	49.0	0	0.004910803768290239	non_linear	False	False	False	P P	Payload[1042-2865](-) Payload[1021-2865](+)
doubled_payload	47.0	0	0.004710362798155943	non_linear	False	False	False	P P	Payload[1348-2865](-) Payload[1385-2865](+)
doubled_payload	45.0	0	0.004509921828021648	non_linear	False	False	False	P P	Payload[1021-2865](-) Payload[1042-2865](+)
doubled_payload	42.0	0	0.004209260372820205	non_linear	False	False	False	P P	Payload[3-353](+) Payload[3-369](-)
doubled_payload	41.0	0	0.004109039887753057	non_linear	False	False	False	P P	Payload[3-625](+) Payload[3-731](-)
doubled_payload	41.0	0	0.004109039887753057	non_linear	False	False	False	P P	Payload[2-156](+) Payload[2-198](-)
doubled_payload	39.0	0	0.0039085989176187615	non_linear	False	False	False	P P	Payload[45-2865](-) Payload[9-2865](+)
doubled_payload	39.0	0	0.0039085989176187615	non_linear	False	False	False	P P	Payload[2198-2865](-) Payload[2210-2865](+)
doubled_payload	37.0	0	0.003708157947484466	non_linear	False	False	False	P P	Payload[3-89](+) Payload[3-89](-)
doubled_payload	37.0	0	0.003708157947484466	non_linear	False	False	False	P P	Payload[3-321](+) Payload[3-231](-)
doubled_payload	37.0	0	0.003708157947484466	non_linear	False	False	False	P P	Payload[1385-2865](-) Payload[1348-2865](+)
doubled_payload	36.0	0	0.0036079374624173183	non_linear	False	False	False	P P	Payload[3-635](+) Payload[3-727](-)
doubled_payload	36.0	0	0.0036079374624173183	non_linear	False	False	False	P P	Payload[245-2865](-) Payload[377-2865](+)
doubled_payload	36.0	0	0.0036079374624173183	non_linear	False	False	False	P P	Payload[2-192](+) Payload[2-254](-)
doubled_payload	36.0	0	0.0036079374624173183	non_linear	False	False	False	P P	Payload[2-1111](+) Payload[2-1122](-)
doubled_payload	35.0	0	0.0035077169773501705	non_linear	False	False	False	P P	Payload[3-231](+) Payload[3-321](-)
doubled_payload	35.0	0	0.0035077169773501705	non_linear	False	False	False	P P	Payload[2-254](+) Payload[2-192](-)
doubled_payload	34.0	0	0.003407496492283023	non_linear	False	False	False	P P	Payload[3-731](+) Payload[3-625](-)
doubled_payload	34.0	0	0.003407496492283023	non_linear	False	False	False	P P	Payload[2-198](+) Payload[2-198](-)
doubled_payload	34.0	0	0.003407496492283023	non_linear	False	False	False	P P	Payload[2-198](+) Payload[2-156](-)
doubled_payload	33.0	0	0.003307276007215875	non_linear	False	False	False	P P	Payload[2595-2865](-) Payload[2618-2865](+)
doubled_payload	31.0	0	0.0031068350370815796	non_linear	False	False	False	P P	Payload[564-2865](-) Payload[674-2865](+)
doubled_payload	31.0	0	0.0031068350370815796	non_linear	False	False	False	P P	Payload[3-99](+) Payload[3-99](-)
doubled_payload	29.0	0	0.002906394066947284	non_linear	False	False	False	P P	Payload[672-2865](-) Payload[564-2865](+)
doubled_payload	28.0	0	0.0028061735818801364	non_linear	False	False	False	P P	Payload[9-2865](-) Payload[9-2865](+)
doubled_payload	28.0	0	0.0028061735818801364	non_linear	False	False	False	P P	Payload[674-2865](-) Payload[564-2865](+)
doubled_payload	28.0	0	0.0028061735818801364	non_linear	False	False	False	P P	Payload[3-79](+) Payload[3-64](-)
doubled_payload	27.0	0	0.0027059530968129887	non_linear	False	False	False	P P	Payload[564-2865](-) Payload[671-2865](+)
doubled_payload	27.0	0	0.0027059530968129887	non_linear	False	False	False	P P	Payload[3-369](+) Payload[3-353](-)
doubled_payload	27.0	0	0.0027059530968129887	non_linear	False	False	False	P P	Payload[2-1122](+) Payload[2-1111](-)
doubled_payload	25.0	0	0.0025055121266786932	non_linear	False	False	False	P P	Payload[2210-2865](-) Payload[2198-2865](+)
doubled_payload	24.0	0	0.0024052916416115455	non_linear	False	False	False	P P	Payload[675-2865](-) Payload[564-2865](+)
doubled_payload	24.0	0	0.0024052916416115455	non_linear	False	False	False	P P	Payload[154-2865](-) Payload[246-2865](+)
doubled_payload	23.0	0	0.002305071156544398	non_linear	False	False	False	P P	Payload[2778-2865](-) Payload[2763-2865](+)
doubled_payload	23.0	0	0.002305071156544398	non_linear	False	False	False	P P	Payload[2-392](+) Payload[2-194](-)
doubled_payload	22.0	0	0.00220485067147725	non_linear	False	False	False	P P	Payload[3-730](+) Payload[3-624](-)
doubled_payload	22.0	0	0.00220485067147725	non_linear	False	False	False	P P	Payload[1422-2865](-) Payload[1417-2865](+)
doubled_payload	21.0	0	0.0021046301864101023	non_linear	False	False	False	P P	Payload[3-64](+) Payload[3-79](-)
doubled_payload	21.0	0	0.0021046301864101023	non_linear	False	False	False	P P	Payload[2-153](+) Payload[2-196](-)
doubled_payload	20.0	0	0.0020044097013429546	non_linear	False	False	False	P P	Payload[308-2865](-) Payload[350-2865](+)
doubled_payload	19.0	0	0.0019041892162758069	non_linear	False	False	False	P P	Payload[564-2865](-) Payload[672-2865](+)
doubled_payload	19.0	0	0.0019041892162758069	non_linear	False	False	False	P P	Payload[2678-2865](-) Payload[2655-2865](+)
doubled_payload	19.0	0	0.0019041892162758069	non_linear	False	False	False	P P	Payload[2617-2865](-) Payload[2594-2865](+)
doubled_payload	19.0	0	0.0019041892162758069	non_linear	False	False	False	P P	Payload[1038-2865](-) Payload[1050-2865](+)
doubled_payload	18.0	0	0.0018039687312086591	non_linear	False	False	False	P P	Payload[564-2865](-) Payload[669-2865](+)
doubled_payload	18.0	0	0.0018039687312086591	non_linear	False	False	False	P P	Payload[3-485](+) Payload[3-485](-)
doubled_payload	18.0	0	0.0018039687312086591	non_linear	False	False	False	P P	Payload[3-445](+) Payload[3-445](-)
doubled_payload	18.0	0	0.0018039687312086591	non_linear	False	False	False	P P	Payload[3-233](+) Payload[3-233](-)
doubled_payload	18.0	0	0.0018039687312086591	non_linear	False	False	False	P P	Payload[2-194](+) Payload[2-392](-)
doubled_payload	18.0	0	0.0018039687312086591	non_linear	False	False	False	P P	Payload[1325-2865](-) Payload[1297-2865](+)
doubled_payload	17.0	0	0.0017037482461415114	non_linear	False	False	False	P P	Payload[991-2865](-) Payload[991-2865](+)
doubled_payload	17.0	0	0.0017037482461415114	non_linear	False	False	False	P P	Payload[350-2865](-) Payload[308-2865](+)
doubled_payload	17.0	0	0.0017037482461415114	non_linear	False	False	False	P P	Payload[306-2865](-) Payload[330-2865](+)
doubled_payload	17.0	0	0.0017037482461415114	non_linear	False	False	False	P P	Payload[2618-2865](-) Payload[2595-2865](+)
doubled_payload	17.0	0	0.0017037482461415114	non_linear	False	False	False	P P	Payload[2-196](+) Payload[2-153](-)
doubled_payload	17.0	0	0.0017037482461415114	non_linear	False	False	False	P P	Payload[1700-2865](-) Payload[1662-2865](+)
doubled_payload	16.0	0	0.0016035277610743637	non_linear	False	False	False	P P	Payload[2655-2865](-) Payload[2678-2865](+)
doubled_payload	16.0	0	0.0016035277610743637	non_linear	False	False	False	P P	Payload[2522-2865](-) Payload[2458-2865](+)
doubled_payload	16.0	0	0.0016035277610743637	non_linear	False	False	False	P P	Payload[1212-2865](-) Payload[1225-2865](+)
doubled_payload	15.0	0	0.001503307276007216	non_linear	False	False	False	P P	Payload[669-2865](-) Payload[564-2865](+)
doubled_payload	15.0	0	0.001503307276007216	non_linear	False	False	False	P P	Payload[658-2865](-) Payload[557-2865](+)
doubled_payload	15.0	0	0.001503307276007216	non_linear	False	False	False	P P	Payload[564-2865](-) Payload[675-2865](+)
doubled_payload	15.0	0	0.001503307276007216	non_linear	False	False	False	P P	Payload[2618-2865](-) Payload[2597-2865](+)
doubled_payload	15.0	0	0.001503307276007216	non_linear	False	False	False	P P	Payload[2594-2865](-) Payload[2617-2865](+)
doubled_payload	15.0	0	0.001503307276007216	non_linear	False	False	False	P P	Payload[2-1244](+) Payload[2-1244](-)
doubled_payload	15.0	0	0.001503307276007216	non_linear	False	False	False	P P	Payload[1051-2865](-) Payload[1025-2865](+)
